2026-05-07 15:53:01.391 | INFO     | __main__:<module>:4 - PRAGMA foreign_keys = 1
2026-05-07 15:53:01.660 | INFO     | __main__:<module>:21 - SELECT COUNT(*) FROM sqlite_master WHERE type='table'
2026-05-07 15:55:35.291 | INFO     | __main__:<module>:4 - PRAGMA foreign_keys = 1
2026-05-07 15:55:35.312 | INFO     | __main__:<module>:21 - SELECT COUNT(*) FROM sqlite_master WHERE type='table'
2026-05-07 15:57:19.395 | INFO     | __main__:<module>:4 - PRAGMA foreign_keys = 1
2026-05-07 15:57:19.416 | INFO     | __main__:<module>:21 - SELECT COUNT(*) FROM sqlite_master WHERE type='table'
2026-05-07 15:57:19.621 | INFO     | pandas.io.sql:execute:2702 - SELECT * FROM customer_site WHERE VALID_TILL IS NULL
2026-05-07 15:57:19.654 | INFO     | __main__:<module>:78 - BEGIN 
2026-05-07 15:57:19.654 | INFO     | __main__:<module>:78 - INSERT INTO customer_site(ADDRESS1, ADDRESS2, CITY, REGION, POSTAL_ZONE, TERRITORY_NAME_EN, FLAG_IMAGE, CURRENCY_NAME, LANGUAGE, COUNTRY, COMPANY_NAME, CUSTOMER_TYPE_EN, SEGMENT_DESCRIPTION, SEGMENT_NAME, HQ_ADDRESS1, HQ_ADDRESS2, HQ_CITY, HQ_REGION, HQ_POSTAL_ZONE, HQ_PHONE, HQ_FAX, HQ_LANGUAGE, HQ_CURRENCY_NAME, HQ_FLAG_IMAGE, HQ_TERRITORY_NAME_EN, HQ_COUNTRY, AGE61_70, AGE51_60, AGE41_50, AGE31_40, AGE21_30, AGE0_20, ACTIVE_INDICATOR, PK_CUSTOMER_STORE, PK_RETAILER_SITE, VALID_FROM) VALUES('1 Cherry Lane', 'Mole Business Park', 'London', NULL, 'SE6 4NR', 'Central Europe', 'F09', 'pounds', 'EN', 'United Kingdom', 'Outdoor Experience', 'Outdoors Shop', 'Primarily offers camping supplies, hiking equipment, and other gear for outdoor activities.  Concentrates on offering more expensive gear and on providing a high level of service.', 'Outdoors Shop - Exclusive', 'Seaton House', '3 Aberford Road', 'Reading', 'Berkshire', 'RG5 3HA', '+(44) 118 9666225', '+(44) 118 9426551', 'EN', 'pounds', 'F09', 'Central Europe', 'United Kingdom', 6.0, 7.0, 35.0, 32.0, 8.0, 12.0, 1.0, 391.0, 391.0, (CASE WHEN 0 THEN '07-May-2026 15:57:19 PM' ELSE '01-Jan-1970 01:00:00 AM' END))
2026-05-07 15:57:19.655 | INFO     | __main__:<module>:78 - INSERT INTO customer_site(ADDRESS1, ADDRESS2, CITY, REGION, POSTAL_ZONE, TERRITORY_NAME_EN, FLAG_IMAGE, CURRENCY_NAME, LANGUAGE, COUNTRY, COMPANY_NAME, CUSTOMER_TYPE_EN, SEGMENT_DESCRIPTION, SEGMENT_NAME, HQ_ADDRESS1, HQ_ADDRESS2, HQ_CITY, HQ_REGION, HQ_POSTAL_ZONE, HQ_PHONE, HQ_FAX, HQ_LANGUAGE, HQ_CURRENCY_NAME, HQ_FLAG_IMAGE, HQ_TERRITORY_NAME_EN, HQ_COUNTRY, AGE61_70, AGE51_60, AGE41_50, AGE31_40, AGE21_30, AGE0_20, ACTIVE_INDICATOR, PK_CUSTOMER_STORE, PK_RETAILER_SITE, VALID_FROM) VALUES('1 Tudor Court', 'Regent Street', 'Milton Keynes', 'Buckinghamshire', 'MK17 9EA', 'Central Europe', 'F09', 'pounds', 'EN', 'United Kingdom', 'Jensen Mountaineering', 'Outdoors Shop', 'Primarily offers camping supplies, hiking equipment, and other gear for outdoor activities', 'Outdoors Shop', '139 Page Street', NULL, 'London', NULL, 'NW9 8AA', '+(44) 171 7327474', '+(44) 171 3871873', 'EN', 'pounds', 'F09', 'Central Europe', 'United Kingdom', 4.0, 6.0, 17.0, 15.0, 54.0, 4.0, 1.0, 392.0, 392.0, (CASE WHEN 0 THEN '07-May-2026 15:57:19 PM' ELSE '01-Jan-1970 01:00:00 AM' END))
2026-05-07 15:57:19.655 | INFO     | __main__:<module>:78 - INSERT INTO customer_site(ADDRESS1, ADDRESS2, CITY, REGION, POSTAL_ZONE, TERRITORY_NAME_EN, FLAG_IMAGE, CURRENCY_NAME, LANGUAGE, COUNTRY, COMPANY_NAME, CUSTOMER_TYPE_EN, SEGMENT_DESCRIPTION, SEGMENT_NAME, HQ_ADDRESS1, HQ_ADDRESS2, HQ_CITY, HQ_REGION, HQ_POSTAL_ZONE, HQ_PHONE, HQ_FAX, HQ_LANGUAGE, HQ_CURRENCY_NAME, HQ_FLAG_IMAGE, HQ_TERRITORY_NAME_EN, HQ_COUNTRY, AGE61_70, AGE51_60, AGE41_50, AGE31_40, AGE21_30, AGE0_20, ACTIVE_INDICATOR, PK_CUSTOMER_STORE, PK_RETAILER_SITE, VALID_FROM) VALUES('1, rue Descartes', NULL, 'Roubaix', NULL, 'F-59100', 'Central Europe', 'F01', 'francs', 'EN', 'France', 'Camping Sauvage', 'Outdoors Shop', 'Primarily offers camping supplies, hiking equipment, and other gear for outdoor activities', 'Outdoors Shop', '45, rue Vaubecour', NULL, 'Lyon', NULL, 'F-69002', '+33 4 67 63 48 27', '+33 4 67 63 87 09', 'EN', 'francs', 'F01', 'Central Europe', 'France', 1.0, 13.0, 7.0, 17.0, 54.0, 8.0, 1.0, 214.0, 214.0, (CASE WHEN 0 THEN '07-May-2026 15:57:19 PM' ELSE '01-Jan-1970 01:00:00 AM' END))
2026-05-07 15:57:19.655 | INFO     | __main__:<module>:78 - INSERT INTO customer_site(ADDRESS1, ADDRESS2, CITY, REGION, POSTAL_ZONE, TERRITORY_NAME_EN, FLAG_IMAGE, CURRENCY_NAME, LANGUAGE, COUNTRY, COMPANY_NAME, CUSTOMER_TYPE_EN, SEGMENT_DESCRIPTION, SEGMENT_NAME, HQ_ADDRESS1, HQ_ADDRESS2, HQ_CITY, HQ_REGION, HQ_POSTAL_ZONE, HQ_PHONE, HQ_FAX, HQ_LANGUAGE, HQ_CURRENCY_NAME, HQ_FLAG_IMAGE, HQ_TERRITORY_NAME_EN, HQ_COUNTRY, AGE61_70, AGE51_60, AGE41_50, AGE31_40, AGE21_30, AGE0_20, ACTIVE_INDICATOR, PK_CUSTOMER_STORE, PK_RETAILER_SITE, VALID_FROM) VALUES('1, rue de la Contrescarpe', 'Boîte postale 8000', 'Nantes', NULL, 'F-44000', 'Central Europe', 'F01', 'francs', 'EN', 'France', 'Grand choix', 'Department Store', 'Offers a wide range of goods.  Concentrates on offering more expensive products and on providing a high level of service.', 'Department Store - Exclusive', '205, rue Richelieu', NULL, 'Tours', NULL, 'F-37020', '+33 2 52 31 22 44', '+33 2 52 31 11 44', 'EN', 'francs', 'F01', 'Central Europe', 'France', 10.0, 33.0, 31.0, 18.0, 5.0, 3.0, 1.0, 215.0, 215.0, (CASE WHEN 0 THEN '07-May-2026 15:57:19 PM' ELSE '01-Jan-1970 01:00:00 AM' END))
2026-05-07 15:57:19.655 | INFO     | __main__:<module>:78 - INSERT INTO customer_site(ADDRESS1, ADDRESS2, CITY, REGION, POSTAL_ZONE, TERRITORY_NAME_EN, FLAG_IMAGE, CURRENCY_NAME, LANGUAGE, COUNTRY, COMPANY_NAME, CUSTOMER_TYPE_EN, SEGMENT_DESCRIPTION, SEGMENT_NAME, HQ_ADDRESS1, HQ_ADDRESS2, HQ_CITY, HQ_REGION, HQ_POSTAL_ZONE, HQ_PHONE, HQ_FAX, HQ_LANGUAGE, HQ_CURRENCY_NAME, HQ_FLAG_IMAGE, HQ_TERRITORY_NAME_EN, HQ_COUNTRY, AGE61_70, AGE51_60, AGE41_50, AGE31_40, AGE21_30, AGE0_20, ACTIVE_INDICATOR, PK_CUSTOMER_STORE, PK_RETAILER_SITE, VALID_FROM) VALUES('1-1-1 Hamakubo', 'Shibuya-ku', 'Tokyo', 'Tokyo', '150-0004', 'Asia Pacific', 'F11', 'yen', 'EN', 'Japan', 'Japan Sports Youhinten', 'Sports Store', 'Primarily offers a wide range of sporting goods.', 'Sports Store', '1-1-1 Hamakubo', NULL, 'Shibuya-ku', 'Tokyo', '530-9125', '81-3-5547-6209', '81-3-5547-6210', 'EN', 'yen', 'F11', 'Asia Pacific', 'Japan', 2.0, 11.0, 8.0, 8.0, 35.0, 36.0, 1.0, 247.0, 247.0, (CASE WHEN 0 THEN '07-May-2026 15:57:19 PM' ELSE '01-Jan-1970 01:00:00 AM' END))
